name,ring,quadrant,isNew,description
Gitlab Flow,Adopt,Techniques,FALSE,
Infrastructure as code,Adopt,Techniques,FALSE,
Batch Processing,Adopt,Techniques,FALSE,
Streaming Processing,Adopt,Techniques,FALSE,
Continious Delivery,Adopt,Techniques,TRUE,
Samver Versioning,Adopt,Techniques,TRUE,
Semantic Versioning,Adopt,Techniques,TRUE,
Serverless,Hold,Techniques,TRUE,
Continious Deployment,Trial,Techniques,TRUE,
Feature Toogles,Adopt,Techniques,TRUE,
Duties,Trial,Techniques,TRUE,
Google Cloud,Adopt,Platforms & Infrastructure,FALSE,
Kubernetes,Adopt,Platforms & Infrastructure,FALSE,
Helm 3,Adopt,Platforms & Infrastructure,FALSE,
Grafana,Adopt,Platforms & Infrastructure,TRUE,
Jaeger,Adopt,Platforms & Infrastructure,FALSE,
ElasticSearch,Adopt,Platforms & Infrastructure,TRUE,
Kibana,Adopt,Platforms & Infrastructure,TRUE,
Loki,Adopt,Platforms & Infrastructure,FALSE,
Gitlab,Adopt,Platforms & Infrastructure,FALSE,
Hashicorp Vault,Adopt,Platforms & Infrastructure,TRUE,
Cloud SQL Postgres,Adopt,Platforms & Infrastructure,FALSE,
Google Cloud Composer,Adopt,Platforms & Infrastructure,FALSE,
Google Cloud BigTable,Adopt,Platforms & Infrastructure,TRUE,
RabbitMQ,Adopt,Platforms & Infrastructure,TRUE,
Redis,Adopt,Platforms & Infrastructure,TRUE,
Google Cloud Storage,Adopt,Platforms & Infrastructure,TRUE,
Yandex Toloka,Adopt,Platforms & Infrastructure,TRUE,
Kubecost,Adopt,Platforms & Infrastructure,TRUE,
Google Cloud Run,Hold,Platforms & Infrastructure,TRUE,
Cloud SQL MySQL,Hold,Platforms & Infrastructure,TRUE,
Helm 2,Hold,Platforms & Infrastructure,FALSE,
DGraph,Trial,Platforms & Infrastructure,TRUE,
Sentry,Trial,Platforms & Infrastructure,TRUE,
Alertmanager,Adopt,Platforms & Infrastructure,TRUE,
poetry,Trial,Tools,TRUE,
piptools,Trial,Tools,TRUE,
pipenv,Hold,Tools,FALSE,
Lens,Adopt,Tools,FALSE,
cbt,Adopt,Tools,FALSE,
jq,Adopt,Tools,TRUE,
Protobuf,Adopt,Tools,TRUE,
Docker,Adopt,Tools,FALSE,
Go,Adopt,Languages & Frameworks,FALSE,
PHP,Adopt,Languages & Frameworks,FALSE,
Python,Adopt,Languages & Frameworks,FALSE,
PyTorch,Adopt,Languages & Frameworks,FALSE,
JavaScript,Adopt,Languages & Frameworks,TRUE,
VueJS,Adopt,Languages & Frameworks,TRUE,
Yii2,Adopt,Languages & Frameworks,FALSE,
Tensorflow,Hold,Languages & Frameworks,FALSE,
